780,Parunovac,37201,60
781,Pasjane,38266,165
782,Pačir,24342,25
783,Pejkovac,18413,144
784,Pepeljevac,37231,60
785,Perlez,23260,14
786,Perućac,31256,23
787,Petlovača,15304,106
788,Petrovaradin,21131,59
789,Petrovac,12300,103
790,Pećinci,22410,17
791,Pecka,14207,152
792,Pečenjevce,16251,84
793,Pivnice,21469,53
794,Pinosava,11226,66
795,Pirot,18300,116
796,Plavna,19307,94
797,Plavna,21428,51
798,Plažane,35212,113
799,Plana,35247,104
800,Plandište,26360,46
801,Platičevo,22420,101
802,Plemetina,38211,166
803,Pleš,37238,8
804,Pločica,26229,19
805,Pobeda,24313,25
806,Poganovo,18326,141
807,Podvis,19362,67
808,Podvrška,19321,98
809,Podgorac,19233,83
810,Podunavci,36215,129
811,Požarevac,12000,43
812,Požega,31210,133
813,Pojate,37214,167
814,Poljana,12372,43
815,Poljska Ržana,18328,116
816,Popinci,22428,17
817,Popovac,35254,104
818,Popučke,14221,93
819,Porodin,12375,7
820,Potočac,35207,104
821,Poćuta,14206,93
822,Počekovina,37243,108
823,Pranjani,32308,88
824,Prahovo,19330,94
825,Prevešt,35264,72
826,Predejane (varoš),16222,84
827,Prekonoga,18365,102
828,Preljina,32212,97
829,Preševo,17523,168
830,Preševo-terminal,17555,168
831,Priboj,31330,36
832,Priboj Vranjski,17511,120
833,Privina Glava,22257,2
834,Prigrevica,25263,13
835,Prijepolje,31300,12
836,Prilički Kiseljak,32252,65
837,Prilužje,38213,169
838,Pričević,14251,93
839,Prnjavor (Mačvanski),15306,106
840,Provo,15215,119
841,Prokuplje,18400,68
842,Prolom Banja,18433,48
843,Pružatovac,11413,109
844,Prhovo,22442,17
845,Pukovac,18255,70
846,Putinci,22404,101
847,Rabrovo,12254,124
848,Ravna Dubrava,18246,132
849,Ravni Topolovac,23212,32
850,Ravni,31206,61
851,Ravno Selo,21471,58
852,Ravnje,22205,73
853,Radalj,15321,112
854,Radinac,11311,123
855,Radičević,21225,57
856,Radljevo,14211,38
857,Radovnica,17561,147
858,Radojevo,23221,9
859,Radujevac,19334,94
860,Ražana,31265,105
861,Ražanj,37215,117
862,Razbojna,37223,79
863,Razgojna,16252,84
864,Rainovača,15342,130
865,Rajković,14202,95
866,Rakovac,21299,35
867,Ralja,11233,162
868,Ranilović,34302,15
869,Ranilug,38267,154
870,Ranovac,12304,103
871,Rastina,25283,6
872,Rataje,37236,8
873,Ratari,11411,5
874,Ratina,36212,4
875,Ratkovo,25253,54
876,Rača Kragujevačka,34210,163
877,Rača,18440,48
878,Rašanac,12315,103
879,Raševica,35206,104
880,Raška,36350,27
881,Rgotina,19214,100
882,Rekovac,35260,72
883,Resavica,35237,113
884,Resnik,34225,71
885,Ribare,35220,20
886,Ribari,15310,106
887,Ribariće,36309,140
888,Ribarska Banja,37205,60
889,Riđica,25280,6
890,Ripanj,11232,66
891,Ristovac,17521,121
892,Rogača,11453,162
893,Rogačica,31255,23
894,Roge,31237,133
895,Rogljevo,19318,94
896,Rožanstvo,31208,148
897,Roćevići,36205,4
898,Rudna Glava,19257,146
899,Rudnik,32313,88
900,Rudnica,36353,27
901,Rudno,36222,4
902,Rudovci,11566,49
903,Ruma,22400,101
904,Rumenka,21201,59
905,Ruski Krstur,25233,157
906,Rusko Selo,23314,30
907,Rutevac,18224,10
908,Rušanj,11194,110
909,Savinac,19377,83
910,Savino Selo,21467,58
911,Sajan,23324,30
912,Sakule,26206,41
913,Salaš Noćajski,22204,73
914,Salaš,19224,100
915,Samaila,36202,4
916,Samoš,26350,138
917,Sanad,23331,125
918,Saraorci,11315,123
919,Sastav Reka,16213,170
920,Sastavci,31335,36
921,Sveti Ilija,17508,121
922,Svetozar Miletić,25211,6
923,Svilajnac,35210,80
924,Svileuva,15221,145
