naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Aleksandrovo,Nova Crnja,45.64119968294919,20.58877520523298,Đure Jakšića,27A
Aleksandrovo,Nova Crnja,45.63491280685813,20.591358271816237,4.oktobra,63
Aleksandrovo,Nova Crnja,45.63351302539778,20.597991712220722,Gavrila Principa,51
Aleksandrovo,Nova Crnja,45.6387486765813,20.599373410914197,Gavrila Principa,32
Aleksandrovo,Nova Crnja,45.64693116676334,20.588942705690055,Svetozara Markovića,11
Aleksandrovo,Nova Crnja,45.643436555319816,20.59129874401231,Mihajla Pupina,22
Aleksandrovo,Nova Crnja,45.64453234149199,20.59982033852383,Svetozara Markovića,52
Aleksandrovo,Nova Crnja,45.64220820274309,20.60304156271658,Vuka Karadžića,8
Vojvoda Stepa,Nova Crnja,45.68387731671131,20.65307695658108,Alekse Šantića,38
Vojvoda Stepa,Nova Crnja,45.68465139198218,20.653137022784925,Jna,24
Vojvoda Stepa,Nova Crnja,45.68512431233645,20.653290513930273,Jna,23A
Vojvoda Stepa,Nova Crnja,45.685445662301845,20.6568447173751,Karađorđeva,35
Srpska Crnja,Nova Crnja,45.71589192115547,20.6853884397062,Kralja Aleksandra,163
Srpska Crnja,Nova Crnja,45.71776708283702,20.681564105140495,Partizanska,135
Srpska Crnja,Nova Crnja,45.72279446970574,20.684710515089414,Partizanska,81
Srpska Crnja,Nova Crnja,45.72330869879762,20.684846152026964,Partizanska,92
Srpska Crnja,Nova Crnja,45.72833039156957,20.684870347872025,Patrijarha Arsenija Čarnojevića,6
Srpska Crnja,Nova Crnja,45.727026859906275,20.68737895717237,Patrijarha Arsenija Čarnojevića,16A
Srpska Crnja,Nova Crnja,45.719619681557994,20.68979618894901,Kralja Aleksandra,123
Srpska Crnja,Nova Crnja,45.71946197659629,20.692555897432435,Đure Jakšića,117
Srpska Crnja,Nova Crnja,45.721285847342585,20.695765368706127,Drage Gavrilovića,18
Srpska Crnja,Nova Crnja,45.721527145608654,20.696369560354167,Drage Gavrilovića,22
Srpska Crnja,Nova Crnja,45.72320413276641,20.69672748868975,Drage Gavrilovića,2
Srpska Crnja,Nova Crnja,45.73007087215731,20.69640526710581,Kralja Aleksandra,20
Srpska Crnja,Nova Crnja,45.73513819395182,20.703040841827708,Svetozara Miletića,4
Srpska Crnja,Nova Crnja,45.72745208235791,20.704049936950895,Nikole Tesle,12
Radojevo,Nova Crnja,45.73989342546974,20.786792701524316,Mileta Jakšića,13
Radojevo,Nova Crnja,45.75198826698429,20.78717698302554,Železnički Red,4
Srpska Crnja,Nova Crnja,45.69940586906042,20.646687078317044,Zaselak Šandor Majur,1
Toba,Nova Crnja,45.687593729869036,20.553895027649904,Košut Lajoša,2
